vOTU	type	present_samples	total_samples_in_type	prevalence	prevalence_percent	mean_abundance_all_samples	mean_abundance_present_samples	total_abundance
swine-133354	swine	41	1758	0.0233219567690557	2.33219567690557	0.000133204328213879	0.00571154168292683	0.234173209
swine-266980	swine	41	1758	0.0233219567690557	2.33219567690557	0.000126580244596132	0.00542751390243902	0.22252807
swine-207811	swine	41	1758	0.0233219567690557	2.33219567690557	0.000126165710466439	0.00540973948780488	0.221799319
swine-123382	swine	41	1758	0.0233219567690557	2.33219567690557	0.000126013249146758	0.00540320224390244	0.221531292
swine-256570	swine	41	1758	0.0233219567690557	2.33219567690557	0.000124575358361775	0.00534154829268293	0.21900348
swine-412774	swine	41	1758	0.0233219567690557	2.33219567690557	0.0001244864778157	0.00533773726829268	0.218847228
swine-143624	swine	41	1758	0.0233219567690557	2.33219567690557	0.000120338725824801	0.00515988975609756	0.21155548
swine-217513	swine	41	1758	0.0233219567690557	2.33219567690557	0.000120132943117179	0.00515106619512195	0.211193714
swine-463397	swine	41	1758	0.0233219567690557	2.33219567690557	0.000120053704778157	0.0051476686097561	0.211054413
swine-184327	swine	41	1758	0.0233219567690557	2.33219567690557	0.000119698911262799	0.00513245575609756	0.210430686
swine-243808	swine	41	1758	0.0233219567690557	2.33219567690557	0.000117816514789534	0.00505174226829268	0.207121433
swine-404994	swine	41	1758	0.0233219567690557	2.33219567690557	0.000116807133105802	0.00500846195121951	0.20534694
chicken-66882	swine	41	1758	0.0233219567690557	2.33219567690557	0.000113980864618885	0.00488727707317073	0.20037836
swine-525300	swine	41	1758	0.0233219567690557	2.33219567690557	0.000113018389078498	0.004846008	0.198686328
swine-506484	swine	41	1758	0.0233219567690557	2.33219567690557	0.000112524550625711	0.00482483317073171	0.19781816
swine-147998	swine	41	1758	0.0233219567690557	2.33219567690557	0.000110804565415245	0.00475108356097561	0.194794426
swine-69746	swine	41	1758	0.0233219567690557	2.33219567690557	0.000104469741751991	0.00447945868292683	0.183657806
swine-441611	swine	41	1758	0.0233219567690557	2.33219567690557	9.99436319681456e-05	0.00428538792682927	0.175700905
swine-514301	swine	41	1758	0.0233219567690557	2.33219567690557	9.66276103526735e-05	0.0041432033902439	0.169871339
swine-246350	swine	41	1758	0.0233219567690557	2.33219567690557	9.65782497155859e-05	0.00414108690243902	0.169784563
swine-179247	swine	41	1758	0.0233219567690557	2.33219567690557	9.3969837883959e-05	0.00402924329268293	0.165198975
chicken-100580	swine	41	1758	0.0233219567690557	2.33219567690557	9.37399089874858e-05	0.0040193843902439	0.16479476
swine-165099	swine	41	1758	0.0233219567690557	2.33219567690557	9.36743629124004e-05	0.00401657390243902	0.16467953
swine-545938	swine	41	1758	0.0233219567690557	2.33219567690557	8.95631905574517e-05	0.00384029485365854	0.157452089
swine-105059	swine	41	1758	0.0233219567690557	2.33219567690557	8.8656162116041e-05	0.00380140324390244	0.155857533
swine-503316	swine	41	1758	0.0233219567690557	2.33219567690557	8.66861552901024e-05	0.00371693319512195	0.152394261
swine-97286	swine	41	1758	0.0233219567690557	2.33219567690557	8.66858822525597e-05	0.00371692148780488	0.152393781
swine-154861	swine	41	1758	0.0233219567690557	2.33219567690557	8.60776456200228e-05	0.00369084148780488	0.151324501
swine-169932	swine	41	1758	0.0233219567690557	2.33219567690557	8.28370261660978e-05	0.00355189004878049	0.145627492
swine-443012	swine	41	1758	0.0233219567690557	2.33219567690557	8.21971547212742e-05	0.0035244536097561	0.144502598
swine-179305	swine	41	1758	0.0233219567690557	2.33219567690557	8.04782440273037e-05	0.00345075007317073	0.141480753
swine-191543	swine	41	1758	0.0233219567690557	2.33219567690557	7.79084408418658e-05	0.00334056192682927	0.136963039
swine-121064	swine	41	1758	0.0233219567690557	2.33219567690557	7.7241723549488e-05	0.0033119743902439	0.13579095
swine-217642	swine	41	1758	0.0233219567690557	2.33219567690557	7.55986848691695e-05	0.00324152409756098	0.132902488
swine-408821	swine	41	1758	0.0233219567690557	2.33219567690557	7.04203941979522e-05	0.00301948909756098	0.123799053
swine-124756	swine	41	1758	0.0233219567690557	2.33219567690557	6.91801558589306e-05	0.00296631009756098	0.121618714
swine-479709	swine	41	1758	0.0233219567690557	2.33219567690557	6.59044835039818e-05	0.00282585565853659	0.115860082
swine-108327	swine	41	1758	0.0233219567690557	2.33219567690557	6.44229766780432e-05	0.00276233153658537	0.113255593
swine-151634	swine	41	1758	0.0233219567690557	2.33219567690557	5.4535417519909e-05	0.00233837229268293	0.095873264
cattle-461742	swine	40	1758	0.0227531285551763	2.27531285551763	0.00089782928327645	0.039459597	1.57838388
swine-241322	swine	40	1758	0.0227531285551763	2.27531285551763	0.000872181365187713	0.038332371	1.53329484
swine-113932	swine	40	1758	0.0227531285551763	2.27531285551763	0.000701724254266212	0.030840780975	1.233631239
swine-488854	swine	40	1758	0.0227531285551763	2.27531285551763	0.000632783686006826	0.027810843	1.11243372
swine-493116	swine	40	1758	0.0227531285551763	2.27531285551763	0.00043802154152446	0.01925104675	0.77004187
swine-3595	swine	40	1758	0.0227531285551763	2.27531285551763	0.000410765367463026	0.0180531379	0.722125516
swine-438064	swine	40	1758	0.0227531285551763	2.27531285551763	0.0004050516814562	0.0178020214	0.712080856
swine-268890	swine	40	1758	0.0227531285551763	2.27531285551763	0.000396511502844141	0.01742668055	0.697067222
swine-539148	swine	40	1758	0.0227531285551763	2.27531285551763	0.000395334351535836	0.01737494475	0.69499779
cattle-221137	swine	40	1758	0.0227531285551763	2.27531285551763	0.000381195915813424	0.0167535605	0.67014242
swine-176981	swine	40	1758	0.0227531285551763	2.27531285551763	0.000346725201365188	0.0152385726	0.609542904
swine-480079	swine	40	1758	0.0227531285551763	2.27531285551763	0.000345283140500569	0.015175194025	0.607007761
swine-105768	swine	40	1758	0.0227531285551763	2.27531285551763	0.000330799928896473	0.014538656875	0.581546275
swine-500271	swine	40	1758	0.0227531285551763	2.27531285551763	0.000322788407281001	0.0141865505	0.56746202
swine-100959	swine	40	1758	0.0227531285551763	2.27531285551763	0.00031248747440273	0.0137338245	0.54935298
swine-154179	swine	40	1758	0.0227531285551763	2.27531285551763	0.000309182451649602	0.01358856875	0.54354275
swine-362664	swine	40	1758	0.0227531285551763	2.27531285551763	0.00029224572298066	0.012844199525	0.513767981
swine-542055	swine	40	1758	0.0227531285551763	2.27531285551763	0.000283648356086462	0.01246634525	0.49865381
swine-152106	swine	40	1758	0.0227531285551763	2.27531285551763	0.000279519503981797	0.0122848822	0.491395288
swine-339936	swine	40	1758	0.0227531285551763	2.27531285551763	0.00027893558589306	0.012259219	0.49036876
swine-482554	swine	40	1758	0.0227531285551763	2.27531285551763	0.000278825546075085	0.01225438275	0.49017531
swine-541783	swine	40	1758	0.0227531285551763	2.27531285551763	0.000278674215017065	0.01224773175	0.48990927
swine-188089	swine	40	1758	0.0227531285551763	2.27531285551763	0.00027533463367463	0.01210095715	0.484038286
